Genome	Strain	Culture collection #	taxon_oid	Sequencing Technology	Assembly Method	Sequencing Depth (fold coverage)	CheckM Completeness (%)	Genome Size (bp)	Gene Count 	CDS Count   	Coding Base Count %   	GC   	COG Count   	KO Count	Pfam Count	TIGRfam Count	With Function Prediction %	Scaffold Count	HunTitle	BioProject	BioSample	Tax ID	GenBank FTP	GenBank Assembly	GenBank Accession	GenBank FTP	Genbank assembly file	RefSeq FTP	RefSeq Assembly	RefSeq accession	RefSeq FTP	RefSeq Assembly file
Pseudobutyrivibrio ruminis	CF1b		2524614837	Illumina HiSeq	ALLPATHS/Velvet	405.581	99.28	3271126	2996	2939	92.14	0.4	1867	1472	2364	888	76.2	16	Pseudobutyrivibrio ruminis CF1b 	PRJNA185685	SAMN02440829	1280688	[GCA_000424005.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/005/GCA_000424005.1_ASM42400v1)	[GCA_000424005.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/005/GCA_000424005.1_ASM42400v1/GCA_000424005.1_ASM42400v1_genomic.fna.gz)	GCA_000424005.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/005/GCA_000424005.1_ASM42400v1	GCA_000424005.1_ASM42400v1_genomic.fna.gz	[GCF_000424005.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/005/GCF_000424005.1_ASM42400v1)	[GCF_000424005.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/005/GCF_000424005.1_ASM42400v1/GCF_000424005.1_ASM42400v1_genomic.fna.gz)	GCF_000424005.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/005/GCF_000424005.1_ASM42400v1	GCF_000424005.1_ASM42400v1_genomic.fna.gz
Clostridium paraputrificum	AGR2156		2524614700	Illumina HiSeq	ALLPATHS/Velvet	391.437	99.19	3561289	3568	3489	88.7	0.3	2197	1733	2758	1123	73.4	30	Clostridium paraputrificum AGR2156 	PRJNA185687	SAMN02440830	1280689	[GCA_000424025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/025/GCA_000424025.1_ASM42402v1)	[GCA_000424025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/025/GCA_000424025.1_ASM42402v1/GCA_000424025.1_ASM42402v1_genomic.fna.gz)	GCA_000424025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/025/GCA_000424025.1_ASM42402v1	GCA_000424025.1_ASM42402v1_genomic.fna.gz	[GCF_000424025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/025/GCF_000424025.1_ASM42402v1)	[GCF_000424025.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/025/GCF_000424025.1_ASM42402v1/GCF_000424025.1_ASM42402v1_genomic.fna.gz)	GCF_000424025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/025/GCF_000424025.1_ASM42402v1	GCF_000424025.1_ASM42402v1_genomic.fna.gz
Selenomonas ruminantium subsp. ruminantium	GA-192	ATCC 12561	2524614686	Illumina HiSeq	ALLPATHS/Velvet	794.343	100	3387070	3251	3166	89.75	0.48	2013	1595	2513	1100	73.88	67	Selenomonas ruminantium subsp. ruminantium GA-192 ATCC 12561	PRJNA185691	SAMN02441491	1280706	[GCA_000424065.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/065/GCA_000424065.1_ASM42406v1)	[GCA_000424065.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/065/GCA_000424065.1_ASM42406v1/GCA_000424065.1_ASM42406v1_genomic.fna.gz)	GCA_000424065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/065/GCA_000424065.1_ASM42406v1	GCA_000424065.1_ASM42406v1_genomic.fna.gz	[GCF_000424065.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/065/GCF_000424065.1_ASM42406v1)	[GCF_000424065.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/065/GCF_000424065.1_ASM42406v1/GCF_000424065.1_ASM42406v1_genomic.fna.gz)	GCF_000424065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/065/GCF_000424065.1_ASM42406v1	GCF_000424065.1_ASM42406v1_genomic.fna.gz
Blautia wexlerae	AGR2146		2524614712	Illumina HiSeq	ALLPATHS/Velvet	364.061	99.37	3583102	3372	3287	85.29	0.42	1924	1574	2595	1004	74.35	189	Blautia wexlerae AGR2146 	PRJNA185692	SAMN02441492	1280691	[GCA_000424085.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/085/GCA_000424085.1_ASM42408v1)	[GCA_000424085.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/085/GCA_000424085.1_ASM42408v1/GCA_000424085.1_ASM42408v1_genomic.fna.gz)	GCA_000424085.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/085/GCA_000424085.1_ASM42408v1	GCA_000424085.1_ASM42408v1_genomic.fna.gz	[GCF_000424085.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/085/GCF_000424085.1_ASM42408v1)	[GCF_000424085.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/085/GCF_000424085.1_ASM42408v1/GCF_000424085.1_ASM42408v1_genomic.fna.gz)	GCF_000424085.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/085/GCF_000424085.1_ASM42408v1	GCF_000424085.1_ASM42408v1_genomic.fna.gz
Lachnospira multipara	D32	ATCC 19207	2524614802	Illumina HiSeq	ALLPATHS/Velvet	352.917	100	2871860	2612	2541	87.82	0.35	1580	1184	1966	808	72.4	31	Lachnospira multipara D32 ATCC 19207	PRJNA185693	SAMN02440666	1282887	[GCA_000424105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/105/GCA_000424105.1_ASM42410v1)	[GCA_000424105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/105/GCA_000424105.1_ASM42410v1/GCA_000424105.1_ASM42410v1_genomic.fna.gz)	GCA_000424105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/105/GCA_000424105.1_ASM42410v1	GCA_000424105.1_ASM42410v1_genomic.fna.gz	[GCF_000424105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/105/GCF_000424105.1_ASM42410v1)	[GCF_000424105.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/105/GCF_000424105.1_ASM42410v1/GCF_000424105.1_ASM42410v1_genomic.fna.gz)	GCF_000424105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/105/GCF_000424105.1_ASM42410v1	GCF_000424105.1_ASM42410v1_genomic.fna.gz
Butyrivibrio sp.	AE3006		2524614688	Illumina HiSeq	ALLPATHS/Velvet	403.303	99.58	4147770	3657	3582	90.59	0.41	2172	1596	2886	952	75.75	41	Butyrivibrio sp. AE3006 	PRJNA185696	SAMN02440668	1280673	[GCA_000424165.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/165/GCA_000424165.1_ASM42416v1)	[GCA_000424165.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/165/GCA_000424165.1_ASM42416v1/GCA_000424165.1_ASM42416v1_genomic.fna.gz)	GCA_000424165.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/165/GCA_000424165.1_ASM42416v1	GCA_000424165.1_ASM42416v1_genomic.fna.gz	[GCF_000424165.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/165/GCF_000424165.1_ASM42416v1)	[GCF_000424165.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/165/GCF_000424165.1_ASM42416v1/GCF_000424165.1_ASM42416v1_genomic.fna.gz)	GCF_000424165.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/165/GCF_000424165.1_ASM42416v1	GCF_000424165.1_ASM42416v1_genomic.fna.gz
Prevotella sp.	AGR2160		2524614711	Illumina HiSeq	ALLPATHS/Velvet	549.983	98.92	2908381	2564	2484	90.08	0.51	1316	1069	1913	740	69.77	49	Prevotella sp. AGR2160 	PRJNA185697	SAMN02440817	1280674	[GCA_000424185.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/185/GCA_000424185.1_ASM42418v1)	[GCA_000424185.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/185/GCA_000424185.1_ASM42418v1/GCA_000424185.1_ASM42418v1_genomic.fna.gz)	GCA_000424185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/185/GCA_000424185.1_ASM42418v1	GCA_000424185.1_ASM42418v1_genomic.fna.gz	[GCF_000424185.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/185/GCF_000424185.1_ASM42418v1)	[GCF_000424185.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/185/GCF_000424185.1_ASM42418v1/GCF_000424185.1_ASM42418v1_genomic.fna.gz)	GCF_000424185.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/185/GCF_000424185.1_ASM42418v1	GCF_000424185.1_ASM42418v1_genomic.fna.gz
Clostridium cadaveris	AGR2141		2524614698	Illumina HiSeq	ALLPATHS/Velvet	401.132	99.19	3542160	3459	3372	88.47	0.31	2171	1698	2779	1118	76.99	42	Clostridium cadaveris AGR2141 	PRJNA185698	SAMN02440669	1280692	[GCA_000424205.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/205/GCA_000424205.1_ASM42420v1)	[GCA_000424205.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/205/GCA_000424205.1_ASM42420v1/GCA_000424205.1_ASM42420v1_genomic.fna.gz)	GCA_000424205.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/205/GCA_000424205.1_ASM42420v1	GCA_000424205.1_ASM42420v1_genomic.fna.gz	[GCF_000424205.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/205/GCF_000424205.1_ASM42420v1)	[GCF_000424205.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/205/GCF_000424205.1_ASM42420v1/GCF_000424205.1_ASM42420v1_genomic.fna.gz)	GCF_000424205.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/205/GCF_000424205.1_ASM42420v1	GCF_000424205.1_ASM42420v1_genomic.fna.gz
Bifidobacterium choerinum	AGR2158		2526164523	Illumina HiSeq	ALLPATHS/Velvet	478.886	99.94	2190080	1802	1742	87.72	0.64	1143	948	1427	599	75.97	19	Bifidobacterium choerinum AGR2158 	PRJNA185699	SAMN02441493	1280675	[GCA_000424225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/225/GCA_000424225.1_ASM42422v1)	[GCA_000424225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/225/GCA_000424225.1_ASM42422v1/GCA_000424225.1_ASM42422v1_genomic.fna.gz)	GCA_000424225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/225/GCA_000424225.1_ASM42422v1	GCA_000424225.1_ASM42422v1_genomic.fna.gz	[GCF_000424225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/225/GCF_000424225.1_ASM42422v1)	[GCF_000424225.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/225/GCF_000424225.1_ASM42422v1/GCF_000424225.1_ASM42422v1_genomic.fna.gz)	GCF_000424225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/225/GCF_000424225.1_ASM42422v1	GCF_000424225.1_ASM42422v1_genomic.fna.gz
Clostridium butyricum	AGR2140		2524614705	Illumina HiSeq	ALLPATHS/Velvet	356.447	99.19	4550822	4192	4099	85.54	0.29	2690	2046	3379	1301	77.46	39	Clostridium butyricum AGR2140 	PRJNA185700	SAMN02441161	1280693	[GCA_000424245.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/245/GCA_000424245.1_ASM42424v1)	[GCA_000424245.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/245/GCA_000424245.1_ASM42424v1/GCA_000424245.1_ASM42424v1_genomic.fna.gz)	GCA_000424245.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/245/GCA_000424245.1_ASM42424v1	GCA_000424245.1_ASM42424v1_genomic.fna.gz	[GCF_000424245.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/245/GCF_000424245.1_ASM42424v1)	[GCF_000424245.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/245/GCF_000424245.1_ASM42424v1/GCF_000424245.1_ASM42424v1_genomic.fna.gz)	GCF_000424245.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/245/GCF_000424245.1_ASM42424v1	GCF_000424245.1_ASM42424v1_genomic.fna.gz
Butyrivibrio sp.	WCD3002		2524614692	Illumina HiSeq	ALLPATHS/Velvet	549.159	99.58	4254596	3762	3692	90.44	0.41	2166	1585	2903	948	74.51	50	Butyrivibrio sp. WCD3002 	PRJNA185701	SAMN02440670	1280676	[GCA_000424265.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/265/GCA_000424265.1_ASM42426v1)	[GCA_000424265.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/265/GCA_000424265.1_ASM42426v1/GCA_000424265.1_ASM42426v1_genomic.fna.gz)	GCA_000424265.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/265/GCA_000424265.1_ASM42426v1	GCA_000424265.1_ASM42426v1_genomic.fna.gz	[GCF_000424265.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/265/GCF_000424265.1_ASM42426v1)	[GCF_000424265.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/265/GCF_000424265.1_ASM42426v1/GCF_000424265.1_ASM42426v1_genomic.fna.gz)	GCF_000424265.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/265/GCF_000424265.1_ASM42426v1	GCF_000424265.1_ASM42426v1_genomic.fna.gz
Dorea longicatena	AGR2136		2524614701	Illumina HiSeq	ALLPATHS/Velvet	422.238	99.42	3595079	3624	3529	88.21	0.41	2055	1591	2777	1053	74.37	137	Dorea longicatena AGR2136 	PRJNA185710	SAMN02440672	1280698	[GCA_000424345.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/345/GCA_000424345.1_ASM42434v1)	[GCA_000424345.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/345/GCA_000424345.1_ASM42434v1/GCA_000424345.1_ASM42434v1_genomic.fna.gz)	GCA_000424345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/345/GCA_000424345.1_ASM42434v1	GCA_000424345.1_ASM42434v1_genomic.fna.gz	[GCF_000424345.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/345/GCF_000424345.1_ASM42434v1)	[GCF_000424345.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/345/GCF_000424345.1_ASM42434v1/GCF_000424345.1_ASM42434v1_genomic.fna.gz)	GCF_000424345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/345/GCF_000424345.1_ASM42434v1	GCF_000424345.1_ASM42434v1_genomic.fna.gz
Lachnospiraceae bacterium	NK4A144		2524614703	Illumina HiSeq	ALLPATHS/Velvet	418.659	99.46	4092878	3796	3633	88.84	0.42	2124	1566	2772	1005	69.89	68	Lachnospiraceae bacterium NK4A144 	PRJNA185712	SAMN02440673	877421	[GCA_000424365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/365/GCA_000424365.1_ASM42436v1)	[GCA_000424365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/365/GCA_000424365.1_ASM42436v1/GCA_000424365.1_ASM42436v1_genomic.fna.gz)	GCA_000424365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/365/GCA_000424365.1_ASM42436v1	GCA_000424365.1_ASM42436v1_genomic.fna.gz	[GCF_000424365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/365/GCF_000424365.1_ASM42436v1)	[GCF_000424365.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/365/GCF_000424365.1_ASM42436v1/GCF_000424365.1_ASM42436v1_genomic.fna.gz)	GCF_000424365.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/365/GCF_000424365.1_ASM42436v1	GCF_000424365.1_ASM42436v1_genomic.fna.gz
Butyrivibrio sp.	LC3010		2524614693	Illumina HiSeq	ALLPATHS/Velvet	675.128	99.58	4588273	4095	4004	88.38	0.4	2277	1647	3068	957	72.31	66	Butyrivibrio sp. LC3010 	PRJNA185715	SAMN02441480	1280680	[GCA_000424385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/385/GCA_000424385.1_ASM42438v1)	[GCA_000424385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/385/GCA_000424385.1_ASM42438v1/GCA_000424385.1_ASM42438v1_genomic.fna.gz)	GCA_000424385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/385/GCA_000424385.1_ASM42438v1	GCA_000424385.1_ASM42438v1_genomic.fna.gz	[GCF_000424385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/385/GCF_000424385.1_ASM42438v1)	[GCF_000424385.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/385/GCF_000424385.1_ASM42438v1/GCF_000424385.1_ASM42438v1_genomic.fna.gz)	GCF_000424385.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/385/GCF_000424385.1_ASM42438v1	GCF_000424385.1_ASM42438v1_genomic.fna.gz
Butyrivibrio fibrisolvens	FE2007		2524614707	Illumina HiSeq	ALLPATHS/Velvet	597.937	99.58	4315442	3732	3652	86.4	0.4	2112	1546	2761	944	71.22	65	Butyrivibrio fibrisolvens FE2007 	PRJNA185717	SAMN02440818	1280700	[GCA_000424425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/425/GCA_000424425.1_ASM42442v1)	[GCA_000424425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/425/GCA_000424425.1_ASM42442v1/GCA_000424425.1_ASM42442v1_genomic.fna.gz)	GCA_000424425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/425/GCA_000424425.1_ASM42442v1	GCA_000424425.1_ASM42442v1_genomic.fna.gz	[GCF_000424425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/425/GCF_000424425.1_ASM42442v1)	[GCF_000424425.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/425/GCF_000424425.1_ASM42442v1/GCF_000424425.1_ASM42442v1_genomic.fna.gz)	GCF_000424425.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/425/GCF_000424425.1_ASM42442v1	GCF_000424425.1_ASM42442v1_genomic.fna.gz
Butyrivibrio hungatei	NK4A153		2524614697	Illumina HiSeq	ALLPATHS/Velvet	481.335	99.57	3372542	3164	3072	90.22	0.41	1875	1375	2391	884	72.76	31	Butyrivibrio hungatei NK4A153 	PRJNA185721	SAMN02440819	877422	[GCA_000424465.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/465/GCA_000424465.1_ASM42446v1)	[GCA_000424465.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/465/GCA_000424465.1_ASM42446v1/GCA_000424465.1_ASM42446v1_genomic.fna.gz)	GCA_000424465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/465/GCA_000424465.1_ASM42446v1	GCA_000424465.1_ASM42446v1_genomic.fna.gz	[GCF_000424465.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/465/GCF_000424465.1_ASM42446v1)	[GCF_000424465.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/465/GCF_000424465.1_ASM42446v1/GCF_000424465.1_ASM42446v1_genomic.fna.gz)	GCF_000424465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/465/GCF_000424465.1_ASM42446v1	GCF_000424465.1_ASM42446v1_genomic.fna.gz
Butyrivibrio sp.	WCD2001		2524614719	Illumina HiSeq	ALLPATHS/Velvet	551.069	99.58	4276742	3900	3833	90.45	0.42	2200	1587	2939	967	72.62	59	Butyrivibrio sp. WCD2001 	PRJNA185723	SAMN02440820	1280681	[GCA_000424485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/485/GCA_000424485.1_ASM42448v1)	[GCA_000424485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/485/GCA_000424485.1_ASM42448v1/GCA_000424485.1_ASM42448v1_genomic.fna.gz)	GCA_000424485.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/485/GCA_000424485.1_ASM42448v1	GCA_000424485.1_ASM42448v1_genomic.fna.gz	[GCF_000424485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/485/GCF_000424485.1_ASM42448v1)	[GCF_000424485.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/485/GCF_000424485.1_ASM42448v1/GCF_000424485.1_ASM42448v1_genomic.fna.gz)	GCF_000424485.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/485/GCF_000424485.1_ASM42448v1	GCF_000424485.1_ASM42448v1_genomic.fna.gz
Butyrivibrio sp.	XBB1001		2524614689	Illumina HiSeq	ALLPATHS/Velvet	408.194	99.96	3912001	3445	3351	89.88	0.41	2002	1495	2607	909	72.89	39	Butyrivibrio sp. XBB1001 	PRJNA185724	SAMN02440821	1280682	[GCA_000424505.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/505/GCA_000424505.1_ASM42450v1)	[GCA_000424505.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/505/GCA_000424505.1_ASM42450v1/GCA_000424505.1_ASM42450v1_genomic.fna.gz)	GCA_000424505.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/505/GCA_000424505.1_ASM42450v1	GCA_000424505.1_ASM42450v1_genomic.fna.gz	[GCF_000424505.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/505/GCF_000424505.1_ASM42450v1)	[GCF_000424505.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/505/GCF_000424505.1_ASM42450v1/GCF_000424505.1_ASM42450v1_genomic.fna.gz)	GCF_000424505.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/505/GCF_000424505.1_ASM42450v1	GCF_000424505.1_ASM42450v1_genomic.fna.gz
Butyrivibrio fibrisolvens	MD2001		2524614878	Illumina HiSeq	ALLPATHS/Velvet	293.193	100	4738960	4022	3934	86.34	0.4	2304	1666	3021	971	72.75	66	Butyrivibrio fibrisolvens MD2001 	PRJNA185728	SAMN02440823	1280703	[GCA_000424565.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/565/GCA_000424565.1_ASM42456v1)	[GCA_000424565.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/565/GCA_000424565.1_ASM42456v1/GCA_000424565.1_ASM42456v1_genomic.fna.gz)	GCA_000424565.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/565/GCA_000424565.1_ASM42456v1	GCA_000424565.1_ASM42456v1_genomic.fna.gz	[GCF_000424565.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/565/GCF_000424565.1_ASM42456v1)	[GCF_000424565.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/565/GCF_000424565.1_ASM42456v1/GCF_000424565.1_ASM42456v1_genomic.fna.gz)	GCF_000424565.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/565/GCF_000424565.1_ASM42456v1	GCF_000424565.1_ASM42456v1_genomic.fna.gz
Butyrivibrio sp.	MC2013		2524614713	Illumina HiSeq	ALLPATHS/Velvet	575.231	99.58	3813073	3274	3180	89.74	0.44	1938	1422	2513	868	74.28	48	Butyrivibrio sp. MC2013 	PRJNA185729	SAMN02441163	1280686	[GCA_000424585.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/585/GCA_000424585.1_ASM42458v1)	[GCA_000424585.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/585/GCA_000424585.1_ASM42458v1/GCA_000424585.1_ASM42458v1_genomic.fna.gz)	GCA_000424585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/585/GCA_000424585.1_ASM42458v1	GCA_000424585.1_ASM42458v1_genomic.fna.gz	[GCF_000424585.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/585/GCF_000424585.1_ASM42458v1)	[GCF_000424585.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/585/GCF_000424585.1_ASM42458v1/GCF_000424585.1_ASM42458v1_genomic.fna.gz)	GCF_000424585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/585/GCF_000424585.1_ASM42458v1	GCF_000424585.1_ASM42458v1_genomic.fna.gz
Prevotella bryantii	C21a		2524614710	Illumina HiSeq	ALLPATHS/Velvet	444.695	98.31	3249285	2679	2595	89.7	0.39	1430	1158	2027	792	72.04	22	Prevotella bryantii C21a 	PRJNA185731	SAMN02441482	1280705	[GCA_000424605.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/605/GCA_000424605.1_ASM42460v1)	[GCA_000424605.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/605/GCA_000424605.1_ASM42460v1/GCA_000424605.1_ASM42460v1_genomic.fna.gz)	GCA_000424605.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/605/GCA_000424605.1_ASM42460v1	GCA_000424605.1_ASM42460v1_genomic.fna.gz	[GCF_000424605.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/605/GCF_000424605.1_ASM42460v1)	[GCF_000424605.1](ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/605/GCF_000424605.1_ASM42460v1/GCF_000424605.1_ASM42460v1_genomic.fna.gz)	GCF_000424605.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/605/GCF_000424605.1_ASM42460v1	GCF_000424605.1_ASM42460v1_genomic.fna.gz
